"date","downloads","pkg"
"2023-10-27",86,"great_tables"
"2023-10-28",19,"great_tables"
"2023-10-29",10,"great_tables"
"2023-10-30",2,"great_tables"
"2023-10-31",4,"great_tables"
"2023-11-01",3,"great_tables"
"2023-11-02",1,"great_tables"
"2023-11-03",1,"great_tables"
"2023-11-04",5,"great_tables"
"2023-11-05",1,"great_tables"
"2023-11-06",1,"great_tables"
"2023-11-07",1,"great_tables"
"2023-11-09",1,"great_tables"
"2023-11-10",46,"great_tables"
"2023-11-11",12,"great_tables"
"2023-11-12",2,"great_tables"
"2023-11-13",2,"great_tables"
"2023-11-14",4,"great_tables"
"2023-11-15",1,"great_tables"
"2023-11-16",4,"great_tables"
"2023-11-18",4,"great_tables"
"2023-11-19",2,"great_tables"
"2023-11-20",2,"great_tables"
"2023-11-21",4,"great_tables"
"2023-11-23",3,"great_tables"
"2023-11-25",6,"great_tables"
"2023-11-26",6,"great_tables"
"2023-11-27",2,"great_tables"
"2023-11-28",3,"great_tables"
"2023-11-29",2,"great_tables"
"2023-12-02",2,"great_tables"
"2023-12-04",60,"great_tables"
"2023-12-05",70,"great_tables"
"2023-12-06",89,"great_tables"
"2023-12-07",111,"great_tables"
"2023-12-08",40,"great_tables"
"2023-12-09",31,"great_tables"
"2023-12-10",5,"great_tables"
"2023-12-11",27,"great_tables"
"2023-12-12",73,"great_tables"
"2023-12-13",50,"great_tables"
"2023-12-14",29,"great_tables"
"2023-12-15",19,"great_tables"
"2023-12-16",18,"great_tables"
"2023-12-17",11,"great_tables"
"2023-12-18",16,"great_tables"
"2023-12-19",114,"great_tables"
"2023-12-20",24,"great_tables"
"2023-12-21",41,"great_tables"
"2023-12-22",12,"great_tables"
"2023-12-23",11,"great_tables"
"2023-12-24",2,"great_tables"
"2023-12-25",3,"great_tables"
"2023-12-26",7,"great_tables"
"2023-12-27",6,"great_tables"
"2023-12-28",14,"great_tables"
"2023-12-29",7,"great_tables"
"2023-12-30",4,"great_tables"
"2023-12-31",9,"great_tables"
"2024-01-01",5,"great_tables"
"2024-01-02",20,"great_tables"
"2024-01-03",28,"great_tables"
"2024-01-04",34,"great_tables"
"2024-01-05",92,"great_tables"
"2024-01-06",31,"great_tables"
"2024-01-07",20,"great_tables"
"2024-01-08",34,"great_tables"
"2024-01-09",58,"great_tables"
"2024-01-10",23,"great_tables"
"2024-01-11",36,"great_tables"
"2024-01-12",253,"great_tables"
"2024-01-13",141,"great_tables"
"2024-01-14",119,"great_tables"
"2024-01-15",121,"great_tables"
"2024-01-16",208,"great_tables"
"2024-01-17",198,"great_tables"
"2024-01-18",47,"great_tables"
"2024-01-19",91,"great_tables"
"2024-01-20",6,"great_tables"
"2024-01-21",15,"great_tables"
"2024-01-22",61,"great_tables"
"2024-01-23",63,"great_tables"
"2024-01-24",177,"great_tables"
"2024-01-25",145,"great_tables"
"2024-01-26",45,"great_tables"
"2024-01-27",21,"great_tables"
"2024-01-28",36,"great_tables"
"2024-01-29",88,"great_tables"
"2024-01-30",35,"great_tables"
"2024-01-31",156,"great_tables"
"2024-02-01",735,"great_tables"
"2024-02-02",104,"great_tables"
"2024-02-03",117,"great_tables"
"2024-02-04",67,"great_tables"
"2024-02-05",71,"great_tables"
"2024-02-06",40,"great_tables"
"2024-02-07",61,"great_tables"
"2024-02-08",57,"great_tables"
"2024-02-09",50,"great_tables"
"2024-02-10",7,"great_tables"
"2024-02-11",10,"great_tables"
"2024-02-12",92,"great_tables"
"2024-02-13",176,"great_tables"
"2024-02-14",159,"great_tables"
"2024-02-15",351,"great_tables"
"2024-02-16",1142,"great_tables"
"2024-02-17",40,"great_tables"
"2024-02-18",32,"great_tables"
"2024-02-19",139,"great_tables"
"2024-02-20",423,"great_tables"
"2024-02-21",600,"great_tables"
"2024-02-22",940,"great_tables"
"2024-02-23",585,"great_tables"
"2024-02-24",202,"great_tables"
"2024-02-25",195,"great_tables"
"2024-02-26",608,"great_tables"
"2024-02-27",644,"great_tables"
"2024-02-28",580,"great_tables"
"2024-02-29",367,"great_tables"
"2024-03-01",374,"great_tables"
"2024-03-02",43,"great_tables"
"2024-03-03",36,"great_tables"
"2024-03-04",398,"great_tables"
"2024-03-05",442,"great_tables"
"2024-03-06",339,"great_tables"
"2024-03-07",378,"great_tables"
"2024-03-08",143,"great_tables"
"2024-03-09",109,"great_tables"
"2024-03-10",153,"great_tables"
"2024-03-11",235,"great_tables"
"2024-03-12",261,"great_tables"
"2024-03-13",347,"great_tables"
"2024-03-14",186,"great_tables"
"2024-03-15",930,"great_tables"
"2024-03-16",321,"great_tables"
"2024-03-17",79,"great_tables"
"2024-03-18",699,"great_tables"
"2024-03-19",210,"great_tables"
"2024-03-20",620,"great_tables"
"2024-03-21",339,"great_tables"
"2024-03-22",402,"great_tables"
"2024-03-23",28,"great_tables"
"2024-03-24",27,"great_tables"
"2024-03-25",170,"great_tables"
"2024-03-26",202,"great_tables"
"2024-03-27",436,"great_tables"
"2024-03-28",679,"great_tables"
"2024-03-29",193,"great_tables"
"2024-03-30",43,"great_tables"
"2024-03-31",61,"great_tables"
"2024-04-01",574,"great_tables"
"2024-04-02",545,"great_tables"
"2024-04-03",501,"great_tables"
"2024-04-04",227,"great_tables"
"2024-04-05",316,"great_tables"
"2024-04-06",179,"great_tables"
"2024-04-07",142,"great_tables"
"2024-04-08",505,"great_tables"
"2024-04-09",710,"great_tables"
"2024-04-10",1143,"great_tables"
"2024-04-11",1259,"great_tables"
"2024-04-12",1042,"great_tables"
"2024-04-13",295,"great_tables"
"2024-04-14",147,"great_tables"
"2024-04-15",658,"great_tables"
"2024-04-16",469,"great_tables"
"2024-04-17",456,"great_tables"
"2024-04-18",580,"great_tables"
"2024-04-19",577,"great_tables"
"2024-04-20",254,"great_tables"
"2024-04-21",305,"great_tables"
"2024-04-22",1326,"great_tables"
"2023-10-25",552,"shiny"
"2023-10-26",622,"shiny"
"2023-10-27",576,"shiny"
"2023-10-28",394,"shiny"
"2023-10-29",281,"shiny"
"2023-10-30",778,"shiny"
"2023-10-31",993,"shiny"
