date,major_minor,downloads
2022-01-13,0.2,10
2022-01-14,0.2,32
2022-01-15,0.2,2
2022-01-17,0.2,7
2022-01-18,0.2,10
2022-01-19,0.3,36
2022-01-20,0.3,27
2022-01-21,0.3,41
2022-01-22,0.3,2
2022-01-23,0.3,2
2022-01-24,0.3,26
2022-01-25,0.3,46
2022-01-26,0.3,24
2022-01-27,0.3,26
2022-01-28,0.3,68
2022-01-29,0.3,10
2022-01-30,0.3,51
2022-01-31,0.3,62
2022-02-01,0.3,45
2022-02-02,0.3,26
2022-02-03,0.3,65
2022-02-04,0.3,59
2022-02-06,0.3,3
2022-02-07,0.3,52
2022-02-08,0.3,37
2022-02-09,0.3,72
2022-02-10,0.3,32
2022-02-10,0.9,17
2022-02-11,0.3,2
2022-02-11,0.9,69
2022-02-12,0.9,25
2022-02-13,0.9,9
2022-02-14,0.9,70
2022-02-15,0.3,2
2022-02-15,0.9,33
2022-02-16,0.9,27
2022-02-17,0.9,46
2022-02-18,0.9,115
2022-02-19,0.9,12
2022-02-20,0.9,3
2022-02-21,0.9,5
2022-02-22,0.3,2
2022-02-22,0.9,52
2022-02-23,0.9,32
2022-02-24,0.9,37
2022-02-25,0.9,20
2022-02-26,0.9,5
2022-02-28,0.3,3
2022-02-28,0.9,27
2022-03-01,0.9,57
2022-03-02,0.9,40
2022-03-03,0.9,15
2022-03-04,0.9,6
2022-03-05,0.9,10
2022-03-06,0.9,1
2022-03-07,0.3,1
2022-03-07,0.9,25
2022-03-08,0.9,22
2022-03-09,0.9,35
2022-03-10,0.9,39
2022-03-11,0.9,73
2022-03-12,0.9,35
2022-03-13,0.9,14
2022-03-14,0.9,10
2022-03-15,0.9,9
2022-03-16,0.9,29
2022-03-17,0.9,52
2022-03-18,0.9,32
2022-03-19,0.9,2
2022-03-20,0.9,8
2022-03-21,0.9,28
2022-03-22,0.9,29
2022-03-23,0.9,18
2022-03-24,0.9,12
2022-03-25,0.9,17
2022-03-28,0.9,47
2022-03-29,0.9,48
2022-03-30,0.9,27
2022-03-31,0.9,3
2022-04-01,0.9,45
2022-04-02,0.9,7
2022-04-03,0.9,9
2022-04-04,0.9,31
2022-04-05,0.9,16
2022-04-06,0.9,47
2022-04-07,0.9,45
2022-04-08,0.9,21
2022-04-10,0.9,7
2022-04-11,0.3,1
2022-04-11,0.9,47
2022-04-12,0.9,46
2022-04-13,0.9,34
2022-04-14,0.9,34
2022-04-15,0.9,26
2022-04-16,0.9,7
2022-04-17,0.9,4
2022-04-18,0.9,14
2022-04-19,0.9,46
2022-04-20,0.9,43
2022-04-21,0.9,23
2022-04-22,0.9,15
2022-04-23,0.9,1
2022-04-24,0.9,3
2022-04-25,0.9,19
2022-04-26,0.9,67
2022-04-27,0.9,38
2022-04-28,0.9,22
2022-04-29,0.9,25
2022-04-30,0.9,6
2022-05-01,0.9,1
2022-05-02,0.9,36
2022-05-03,0.3,1
2022-05-03,0.9,36
2022-05-04,0.9,77
2022-05-05,0.9,52
2022-05-06,0.9,19
2022-05-07,0.9,17
2022-05-08,0.9,2
2022-05-09,0.9,32
2022-05-10,0.9,50
2022-05-11,0.9,44
2022-05-12,0.9,61
2022-05-13,0.9,39
2022-05-14,0.9,6
2022-05-15,0.9,10
2022-05-16,0.9,24
2022-05-17,0.9,31
2022-05-18,0.9,11
2022-05-19,0.9,13
2022-05-20,0.9,12
2022-05-23,0.9,14
2022-05-24,0.9,5
2022-05-25,0.9,12
2022-05-26,0.9,2
2022-05-27,0.9,1
2022-05-30,0.9,1
2022-05-31,0.9,8
2022-06-01,0.9,16
2022-06-02,0.3,1
2022-06-02,0.9,4
2022-06-03,0.9,1
2022-06-04,0.9,1
2022-06-06,0.9,1
2022-06-07,0.9,1
2022-06-08,0.9,2
2022-06-09,0.9,26
2022-06-10,0.9,15
2022-06-11,0.9,2
2022-06-12,0.9,2
2022-06-13,0.9,1
2022-06-20,0.9,1
2022-06-21,0.9,5
2022-06-22,0.9,10
2022-06-23,0.9,4
2022-06-24,0.9,17
2022-06-25,0.9,7
2022-06-27,0.9,1
2022-06-29,0.9,1
2022-06-30,0.9,2
2022-07-01,0.9,4
2022-07-03,0.9,3
2022-07-05,0.9,1
2022-07-06,0.9,2
2022-07-07,0.9,5
2022-07-14,0.9,1
2022-07-20,1.0,2
2022-07-25,0.9,1
2022-07-27,0.9,1
2022-07-29,0.9,1
2022-08-09,0.9,1
2022-08-10,0.9,7
2022-08-11,0.9,3
2022-08-12,0.9,11
2022-08-18,0.9,4
2022-08-19,0.9,1
2022-08-22,0.9,2
2022-08-23,0.9,7
2022-08-24,0.9,3
2022-08-25,0.9,15
2022-08-26,0.9,26
2022-08-26,1.0,7
2022-09-10,0.9,1
2022-09-15,1.1,8
2022-09-16,1.1,6
2022-09-19,1.1,5
2022-09-21,0.9,6
2022-09-21,1.1,10
2022-09-22,0.9,13
2022-09-22,1.1,15
2022-09-23,0.9,9
2022-09-24,0.9,11
2022-09-26,0.9,10
2022-09-29,1.1,1
2022-10-04,0.9,3
2022-10-04,1.1,7
2022-10-11,0.9,1
2022-10-13,1.1,28
2022-10-14,0.9,7
2022-10-19,0.9,1
2022-10-24,0.9,3
2022-10-24,1.1,2
2022-10-28,0.9,9
2022-11-12,0.9,1
2022-12-04,0.9,5
2022-12-05,0.9,1
2022-12-07,1.1,4
2022-12-08,1.1,7
2022-12-13,1.1,5
2022-12-14,1.1,20
2023-01-24,0.9,6
2023-01-24,1.1,2
2023-01-27,0.9,2
2023-02-11,0.9,2
2023-02-11,1.1,15
2023-02-12,0.9,12
2023-02-12,1.1,7
2023-02-13,1.2,2
2023-02-15,1.2,41
2023-02-16,1.2,41
2023-02-17,1.2,76
2023-02-18,1.2,15
2023-02-19,1.2,23
2023-02-20,1.2,17
2023-02-21,1.2,67
2023-02-22,1.2,80
2023-02-23,1.2,52
2023-02-24,0.9,1
2023-02-24,1.2,57
2023-02-25,1.2,19
2023-02-26,0.9,1
2023-02-26,1.2,18
2023-02-27,0.9,1
2023-02-27,1.2,48
2023-02-28,1.2,31
2023-03-01,1.2,62
2023-03-03,1.2,21
2023-03-04,1.2,30
2023-03-05,1.2,18
2023-03-06,1.2,41
2023-03-07,1.2,94
2023-03-08,1.2,60
2023-03-09,1.2,56
2023-03-10,1.2,34
2023-03-11,1.2,18
2023-03-12,1.2,13
2023-03-13,1.2,11
2023-03-14,1.1,2
2023-03-14,1.2,42
2023-03-15,1.2,14
2023-03-16,1.2,52
2023-03-17,1.2,31
2023-03-18,1.2,26
2023-03-19,1.2,12
2023-03-20,1.2,15
2023-03-21,1.2,13
2023-03-22,1.2,16
2023-03-23,1.2,10
2023-03-24,1.2,26
2023-03-25,1.2,10
2023-03-26,1.2,8
2023-03-27,0.9,2
2023-03-27,1.2,11
2023-03-28,1.2,1
2023-03-29,0.9,1
2023-03-30,1.2,3
2023-04-03,1.2,1
2023-04-04,1.2,8
2023-04-10,1.2,1
2023-04-16,1.2,1
2023-04-22,1.2,1
2023-04-24,1.2,5
2023-04-25,1.2,4
2023-04-26,1.2,8
2023-04-26,1.3,4
2023-04-27,1.2,11
2023-04-27,1.3,48
2023-04-28,1.2,4
2023-04-28,1.3,20
2023-04-29,1.2,2
2023-04-29,1.3,16
2023-04-30,1.3,15
2023-05-01,1.2,1
2023-05-01,1.3,19
2023-05-02,1.2,1
2023-05-02,1.3,17
2023-05-03,1.3,30
2023-05-04,1.3,34
2023-05-05,0.9,1
2023-05-05,1.2,7
2023-05-05,1.3,27
2023-05-06,1.2,1
2023-05-06,1.3,14
2023-05-07,1.3,14
2023-05-08,1.2,1
2023-05-08,1.3,29
2023-05-09,1.2,5
2023-05-09,1.3,12
2023-05-10,1.3,25
2023-05-11,1.3,23
2023-05-12,1.3,24
2023-05-13,1.3,15
2023-05-14,1.3,14
2023-05-15,1.3,30
2023-05-16,1.2,1
2023-05-16,1.3,43
2023-05-17,1.2,5
2023-05-17,1.3,38
2023-05-18,1.2,5
2023-05-18,1.3,46
2023-05-19,1.2,1
2023-05-19,1.3,58
2023-05-20,1.3,22
2023-05-21,1.3,23
2023-05-22,1.3,45
2023-05-23,1.2,1
2023-05-23,1.3,41
2023-05-24,1.3,30
2023-05-25,1.2,6
2023-05-25,1.3,7
2023-05-26,1.2,7
2023-05-26,1.3,10
