"date","downloads"
"2022-01-13",10
"2022-01-14",32
"2022-01-15",2
"2022-01-17",7
"2022-01-18",10
"2022-01-19",36
"2022-01-20",27
"2022-01-21",41
"2022-01-22",2
"2022-01-23",2
"2022-01-24",26
"2022-01-25",46
"2022-01-26",24
"2022-01-27",26
"2022-01-28",68
"2022-01-29",10
"2022-01-30",51
"2022-01-31",62
"2022-02-01",45
"2022-02-02",26
"2022-02-03",65
"2022-02-04",59
"2022-02-06",3
"2022-02-07",52
"2022-02-08",37
"2022-02-09",72
"2022-02-10",49
"2022-02-11",71
"2022-02-12",25
"2022-02-13",9
"2022-02-14",70
"2022-02-15",35
"2022-02-16",27
"2022-02-17",46
"2022-02-18",115
"2022-02-19",12
"2022-02-20",3
"2022-02-21",5
"2022-02-22",54
"2022-02-23",32
"2022-02-24",37
"2022-02-25",20
"2022-02-26",5
"2022-02-28",30
"2022-03-01",57
"2022-03-02",40
"2022-03-03",15
"2022-03-04",6
"2022-03-05",10
"2022-03-06",1
"2022-03-07",26
"2022-03-08",22
"2022-03-09",35
"2022-03-10",39
"2022-03-11",73
"2022-03-12",35
"2022-03-13",14
"2022-03-14",10
"2022-03-15",9
"2022-03-16",29
"2022-03-17",52
"2022-03-18",32
"2022-03-19",2
"2022-03-20",8
"2022-03-21",28
"2022-03-22",29
"2022-03-23",18
"2022-03-24",12
"2022-03-25",17
"2022-03-28",47
"2022-03-29",48
"2022-03-30",27
"2022-03-31",3
"2022-04-01",45
"2022-04-02",7
"2022-04-03",9
"2022-04-04",31
"2022-04-05",16
"2022-04-06",47
"2022-04-07",45
"2022-04-08",21
"2022-04-10",7
"2022-04-11",48
"2022-04-12",46
"2022-04-13",34
"2022-04-14",34
"2022-04-15",26
"2022-04-16",7
"2022-04-17",4
"2022-04-18",14
"2022-04-19",46
"2022-04-20",43
"2022-04-21",23
"2022-04-22",15
"2022-04-23",1
"2022-04-24",3
"2022-04-25",19
"2022-04-26",67
"2022-04-27",38
"2022-04-28",22
"2022-04-29",25
"2022-04-30",6
"2022-05-01",1
"2022-05-02",36
"2022-05-03",37
"2022-05-04",77
"2022-05-05",52
"2022-05-06",19
"2022-05-07",17
"2022-05-08",2
"2022-05-09",32
"2022-05-10",50
"2022-05-11",44
"2022-05-12",61
"2022-05-13",39
"2022-05-14",6
"2022-05-15",10
"2022-05-16",24
"2022-05-17",31
"2022-05-18",11
"2022-05-19",13
"2022-05-20",12
"2022-05-23",14
"2022-05-24",5
"2022-05-25",12
"2022-05-26",2
"2022-05-27",1
"2022-05-30",1
"2022-05-31",8
"2022-06-01",16
"2022-06-02",5
"2022-06-03",1
"2022-06-04",1
"2022-06-06",1
"2022-06-07",1
"2022-06-08",2
"2022-06-09",26
"2022-06-10",15
"2022-06-11",2
"2022-06-12",2
"2022-06-13",1
"2022-06-20",1
"2022-06-21",5
"2022-06-22",10
"2022-06-23",4
"2022-06-24",17
"2022-06-25",7
"2022-06-27",1
"2022-06-29",1
"2022-06-30",2
"2022-07-01",4
"2022-07-03",3
"2022-07-05",1
"2022-07-06",2
"2022-07-07",5
"2022-07-14",1
"2022-07-20",2
"2022-07-25",1
"2022-07-27",1
"2022-07-29",1
"2022-08-09",1
"2022-08-10",7
"2022-08-11",3
"2022-08-12",11
"2022-08-18",4
"2022-08-19",1
"2022-08-22",2
"2022-08-23",7
"2022-08-24",3
"2022-08-25",15
"2022-08-26",33
"2022-09-10",1
"2022-09-15",8
"2022-09-16",6
"2022-09-19",5
"2022-09-21",16
"2022-09-22",28
"2022-09-23",9
"2022-09-24",11
"2022-09-26",10
"2022-09-29",1
"2022-10-04",10
"2022-10-11",1
"2022-10-13",28
"2022-10-14",7
"2022-10-19",1
"2022-10-24",5
"2022-10-28",9
"2022-11-12",1
"2022-12-04",5
"2022-12-05",1
"2022-12-07",4
"2022-12-08",7
"2022-12-13",5
"2022-12-14",20
"2023-01-24",8
"2023-01-27",2
"2023-02-11",17
"2023-02-12",19
"2023-02-13",2
"2023-02-15",41
"2023-02-16",41
"2023-02-17",76
"2023-02-18",15
"2023-02-19",23
"2023-02-20",17
"2023-02-21",67
"2023-02-22",80
"2023-02-23",52
"2023-02-24",58
"2023-02-25",19
"2023-02-26",19
"2023-02-27",49
"2023-02-28",31
"2023-03-01",62
"2023-03-03",21
"2023-03-04",30
"2023-03-05",18
"2023-03-06",41
"2023-03-07",94
"2023-03-08",60
"2023-03-09",56
"2023-03-10",34
"2023-03-11",18
"2023-03-12",13
"2023-03-13",11
"2023-03-14",44
"2023-03-15",14
"2023-03-16",52
"2023-03-17",31
"2023-03-18",26
"2023-03-19",12
"2023-03-20",15
"2023-03-21",13
"2023-03-22",16
"2023-03-23",10
"2023-03-24",26
"2023-03-25",10
"2023-03-26",8
"2023-03-27",13
"2023-03-28",1
"2023-03-29",1
"2023-03-30",3
"2023-04-03",1
"2023-04-04",8
"2023-04-10",1
"2023-04-16",1
"2023-04-22",1
"2023-04-24",5
"2023-04-25",4
"2023-04-26",12
"2023-04-27",59
"2023-04-28",24
"2023-04-29",18
"2023-04-30",15
"2023-05-01",20
"2023-05-02",18
"2023-05-03",30
"2023-05-04",34
"2023-05-05",35
"2023-05-06",15
"2023-05-07",14
"2023-05-08",30
"2023-05-09",17
"2023-05-10",25
"2023-05-11",23
"2023-05-12",24
"2023-05-13",15
"2023-05-14",14
"2023-05-15",30
"2023-05-16",44
"2023-05-17",43
"2023-05-18",51
"2023-05-19",59
"2023-05-20",22
"2023-05-21",23
"2023-05-22",45
"2023-05-23",42
"2023-05-24",30
"2023-05-25",13
"2023-05-26",17
"2023-05-27",2
"2023-05-29",51
"2023-05-30",57
"2023-05-31",134
"2023-06-01",71
"2023-06-02",46
"2023-06-03",37
"2023-06-04",37
"2023-06-05",40
"2023-06-06",44
"2023-06-07",57
"2023-06-08",41
"2023-06-09",44
"2023-06-10",38
"2023-06-11",39
"2023-06-12",56
"2023-06-13",46
"2023-06-14",45
"2023-06-15",42
"2023-06-16",48
"2023-06-17",40
"2023-06-18",38
"2023-06-19",41
"2023-06-20",45
"2023-06-21",51
"2023-06-22",44
"2023-06-23",47
"2023-06-24",39
"2023-06-25",20
"2023-06-26",73
"2023-06-27",29
"2023-06-28",84
"2023-06-29",84
"2023-06-30",116
"2023-07-01",61
"2023-07-02",49
"2023-07-03",55
"2023-07-04",31
"2023-07-05",63
"2023-07-06",62
"2023-07-07",93
"2023-07-08",46
"2023-07-09",44
"2023-07-10",89
"2023-07-11",111
"2023-07-12",78
"2023-07-13",59
"2023-07-14",98
"2023-07-15",46
"2023-07-16",44
"2023-07-17",75
"2023-07-18",61
"2023-07-19",62
"2023-07-20",71
"2023-07-21",56
"2023-07-22",64
"2023-07-23",46
"2023-07-24",56
"2023-07-25",49
"2023-07-26",104
"2023-07-27",68
"2023-07-28",52
"2023-07-29",49
"2023-07-30",44
"2023-07-31",71
"2023-08-01",71
"2023-08-02",65
"2023-08-03",72
"2023-08-04",50
"2023-08-05",44
"2023-08-06",43
"2023-08-07",52
"2023-08-08",44
"2023-08-09",69
"2023-08-10",54
"2023-08-11",58
"2023-08-12",70
"2023-08-13",63
"2023-08-14",112
"2023-08-15",42
"2023-08-16",33
"2023-08-17",55
"2023-08-18",37
"2023-08-19",28
"2023-08-20",26
"2023-08-21",49
"2023-08-22",67
"2023-08-23",30
"2023-08-24",33
"2023-08-25",50
"2023-08-26",33
"2023-08-27",29
"2023-08-28",34
"2023-08-29",38
"2023-08-30",32
"2023-08-31",34
"2023-09-01",94
"2023-09-02",32
"2023-09-03",28
"2023-09-04",29
"2023-09-05",31
"2023-09-06",34
"2023-09-07",48
"2023-09-08",28
"2023-09-09",26
"2023-09-10",24
"2023-09-11",31
"2023-09-12",47
"2023-09-13",33
"2023-09-14",29
"2023-09-15",33
"2023-09-16",30
"2023-09-17",26
"2023-09-18",27
"2023-09-19",34
"2023-09-20",30
"2023-09-21",66
"2023-09-22",32
"2023-09-23",26
"2023-09-24",28
"2023-09-25",29
"2023-09-26",33
"2023-09-27",32
"2023-09-28",17
"2023-09-29",26
"2023-09-30",26
"2023-10-01",26
"2023-10-02",29
"2023-10-03",38
"2023-10-04",30
"2023-10-05",27
"2023-10-06",40
"2023-10-07",19
"2023-10-08",23
"2023-10-09",24
"2023-10-10",35
"2023-10-11",33
"2023-10-12",60
"2023-10-13",68
"2023-10-14",18
"2023-10-15",25
"2023-10-16",40
"2023-10-17",35
"2023-10-18",24
"2023-10-19",51
"2023-10-20",67
"2023-10-21",24
"2023-10-22",24
"2023-10-23",25
"2023-10-24",24
"2023-10-25",14
"2023-10-26",26
"2023-10-27",28
"2023-10-28",24
"2023-10-29",24
"2023-10-30",22
"2023-10-31",18
"2023-11-01",26
"2023-11-02",47
"2023-11-03",24
"2023-11-04",24
"2023-11-05",24
"2023-11-06",26
"2023-11-07",37
"2023-11-08",29
"2023-11-09",17
"2023-11-10",26
"2023-11-11",22
"2023-11-12",23
"2023-11-13",24
"2023-11-14",30
"2023-11-15",26
"2023-11-16",35
"2023-11-17",26
"2023-11-18",26
"2023-11-19",24
"2023-11-20",28
"2023-11-21",25
"2023-11-22",23
"2023-11-23",23
"2023-11-24",24
"2023-11-25",22
"2023-11-26",22
"2023-11-27",25
"2023-11-28",26
"2023-11-29",33
"2023-11-30",20
"2023-12-01",27
"2023-12-02",28
"2023-12-03",27
"2023-12-04",26
"2023-12-05",21
"2023-12-06",23
"2023-12-07",25
"2023-12-08",24
"2023-12-09",26
"2023-12-10",26
"2023-12-11",23
"2023-12-12",22
"2023-12-13",21
"2023-12-14",22
"2023-12-15",23
"2023-12-16",22
"2023-12-17",27
"2023-12-18",27
"2023-12-19",23
"2023-12-20",24
"2023-12-21",25
"2023-12-22",26
"2023-12-23",22
"2023-12-24",24
"2023-12-25",22
"2023-12-26",22
"2023-12-27",24
"2023-12-28",22
"2023-12-29",23
"2023-12-30",20
"2023-12-31",26
"2024-01-01",23
"2024-01-02",25
"2024-01-03",23
"2024-01-04",28
"2024-01-05",22
"2024-01-06",26
"2024-01-07",19
"2024-01-08",20
"2024-01-09",26
"2024-01-10",25
"2024-01-11",14
"2024-01-12",19
"2024-01-13",20
"2024-01-14",24
"2024-01-15",23
"2024-01-16",23
"2024-01-17",25
"2024-01-18",24
"2024-01-19",24
"2024-01-20",26
"2024-01-21",26
"2024-01-22",24
"2024-01-23",31
"2024-01-24",21
"2024-01-25",22
"2024-01-26",22
"2024-01-27",22
"2024-01-28",24
"2024-01-29",25
"2024-01-30",22
"2024-01-31",26
"2024-02-01",23
"2024-02-02",22
"2024-02-03",20
"2024-02-04",26
"2024-02-05",15
"2024-02-06",12
