created,name,download_count
"2026-06-24T12:27:17Z","changelog.md",970
"2026-06-24T12:27:17Z","quarto-1.10.13-checksums.txt",1003
"2026-06-24T12:27:17Z","quarto-1.10.13-linux-aarch64.rpm",963
"2026-06-24T12:27:17Z","quarto-1.10.13-linux-amd64.deb",1515
"2026-06-24T12:27:17Z","quarto-1.10.13-linux-amd64.tar.gz",1119
"2026-06-24T12:27:17Z","quarto-1.10.13-linux-arm64.deb",975
"2026-06-24T12:27:17Z","quarto-1.10.13-linux-arm64.tar.gz",961
"2026-06-24T12:27:17Z","quarto-1.10.13-linux-x86_64.rpm",959
"2026-06-24T12:27:17Z","quarto-1.10.13-macos.pkg",1027
"2026-06-24T12:27:17Z","quarto-1.10.13-macos.tar.gz",972
"2026-06-24T12:27:17Z","quarto-1.10.13-win.msi",1016
"2026-06-24T12:27:17Z","quarto-1.10.13-win.zip",978
"2026-06-24T12:27:17Z","quarto-1.10.13.tar.gz",958
"2026-06-22T16:51:34Z","changelog.md",281
"2026-06-22T16:51:34Z","quarto-1.10.12-checksums.txt",294
"2026-06-22T16:51:34Z","quarto-1.10.12-linux-aarch64.rpm",276
"2026-06-22T16:51:34Z","quarto-1.10.12-linux-amd64.deb",517
"2026-06-22T16:51:34Z","quarto-1.10.12-linux-amd64.tar.gz",297
"2026-06-22T16:51:34Z","quarto-1.10.12-linux-arm64.deb",277
"2026-06-22T16:51:34Z","quarto-1.10.12-linux-arm64.tar.gz",277
"2026-06-22T16:51:34Z","quarto-1.10.12-linux-x86_64.rpm",274
"2026-06-22T16:51:34Z","quarto-1.10.12-macos.pkg",297
"2026-06-22T16:51:34Z","quarto-1.10.12-macos.tar.gz",275
"2026-06-22T16:51:34Z","quarto-1.10.12-win.msi",291
"2026-06-22T16:51:34Z","quarto-1.10.12-win.zip",286
"2026-06-22T16:51:34Z","quarto-1.10.12.tar.gz",273
"2026-06-10T18:35:36Z","changelog.md",1767
"2026-06-10T18:35:36Z","quarto-1.10.11-checksums.txt",1795
"2026-06-10T18:35:36Z","quarto-1.10.11-linux-aarch64.rpm",1717
"2026-06-10T18:35:36Z","quarto-1.10.11-linux-amd64.deb",3423
"2026-06-10T18:35:36Z","quarto-1.10.11-linux-amd64.tar.gz",1889
"2026-06-10T18:35:36Z","quarto-1.10.11-linux-arm64.deb",1733
"2026-06-10T18:35:36Z","quarto-1.10.11-linux-arm64.tar.gz",1716
"2026-06-10T18:35:36Z","quarto-1.10.11-linux-x86_64.rpm",1717
"2026-06-10T18:35:36Z","quarto-1.10.11-macos.pkg",1791
"2026-06-10T18:35:36Z","quarto-1.10.11-macos.tar.gz",1709
