date,type,downloads
2017-01-01,RS-os,638
2017-01-01,desktop,4543
2017-01-02,RS-os,779
2017-01-02,desktop,8445
2017-01-03,RS-os,1000
2017-01-03,desktop,12273
2017-01-04,RS-os,1165
2017-01-04,desktop,13407
2017-01-05,RS-os,1253
2017-01-05,desktop,13152
2017-01-06,RS-os,1301
2017-01-06,desktop,11653
2017-01-07,RS-os,831
2017-01-07,desktop,8330
2017-01-08,RS-os,889
2017-01-08,desktop,8393
2017-01-09,RS-os,1413
2017-01-09,desktop,16619
2017-01-10,RS-os,1244
2017-01-10,desktop,18852
2017-01-11,RS-os,1122
2017-01-11,desktop,18977
2017-01-12,RS-os,1209
2017-01-12,desktop,18212
2017-01-13,RS-os,958
2017-01-13,desktop,15059
2017-01-14,RS-os,686
2017-01-14,desktop,8367
2017-01-15,RS-os,650
2017-01-15,desktop,9054
2017-01-16,RS-os,993
2017-01-16,desktop,15339
2017-01-17,RS-os,1142
2017-01-17,desktop,19035
2017-01-18,RS-os,1157
2017-01-18,desktop,20629
2017-01-19,RS-os,1331
2017-01-19,desktop,19745
2017-01-20,RS-os,1156
2017-01-20,desktop,15782
2017-01-21,RS-os,774
2017-01-21,desktop,8860
2017-01-22,RS-os,801
2017-01-22,desktop,9242
2017-01-23,RS-os,1297
2017-01-23,desktop,18980
2017-01-24,RS-os,1286
2017-01-24,desktop,19562
2017-01-25,RS-os,1445
2017-01-25,desktop,53067
2017-01-26,RS-os,1239
2017-01-26,desktop,37301
2017-01-27,RS-os,1145
2017-01-27,desktop,28513
2017-01-28,RS-os,756
2017-01-28,desktop,14945
2017-01-29,RS-os,788
2017-01-29,desktop,15377
2017-01-30,RS-os,1347
2017-01-30,desktop,30803
2017-01-31,RS-os,1300
2017-01-31,desktop,29453
2017-02-01,RS-os,1242
2017-02-01,desktop,27262
2017-02-02,RS-os,1311
2017-02-02,desktop,25857
2017-02-03,RS-os,1196
2017-02-03,desktop,22693
2017-02-04,RS-os,845
2017-02-04,desktop,13245
2017-02-05,RS-os,772
2017-02-05,desktop,13045
2017-02-06,RS-os,1201
2017-02-06,desktop,25100
2017-02-07,RS-os,1305
2017-02-07,desktop,26409
2017-02-08,RS-os,1341
2017-02-08,desktop,25976
2017-02-09,RS-os,1311
2017-02-09,desktop,27123
2017-02-10,RS-os,1193
2017-02-10,desktop,20045
2017-02-11,RS-os,830
2017-02-11,desktop,11974
2017-02-12,RS-os,750
2017-02-12,desktop,12294
2017-02-13,RS-os,1167
2017-02-13,desktop,22798
2017-02-14,RS-os,1209
2017-02-14,desktop,21763
2017-02-15,RS-os,1296
2017-02-15,desktop,21856
2017-02-16,RS-os,1297
2017-02-16,desktop,20256
2017-02-17,RS-os,1247
2017-02-17,desktop,19265
2017-02-18,RS-os,902
2017-02-18,desktop,11479
2017-02-19,RS-os,769
2017-02-19,desktop,11428
2017-02-20,RS-os,1275
2017-02-20,desktop,20437
2017-02-21,RS-os,1374
2017-02-21,desktop,22702
2017-02-22,RS-os,1310
2017-02-22,desktop,21961
2017-02-23,RS-os,1287
2017-02-23,desktop,20354
2017-02-24,RS-os,1140
2017-02-24,desktop,17827
2017-02-25,RS-os,726
2017-02-25,desktop,11066
2017-02-26,RS-os,754
2017-02-26,desktop,11452
2017-02-27,RS-os,1265
2017-02-27,desktop,20409
2017-02-28,RS-os,980
2017-02-28,desktop,15788
2017-03-01,RS-os,538
2017-03-01,desktop,11322
2017-03-02,RS-os,1382
2017-03-02,desktop,21548
2017-03-03,RS-os,1223
2017-03-03,desktop,18795
2017-03-04,RS-os,862
2017-03-04,desktop,11932
2017-03-05,RS-os,725
2017-03-05,desktop,11949
2017-03-06,RS-os,1251
2017-03-06,desktop,21271
2017-03-07,RS-os,1319
2017-03-07,desktop,22892
2017-03-08,RS-os,1267
2017-03-08,desktop,21501
2017-03-09,RS-os,1443
2017-03-09,desktop,21701
2017-03-10,RS-os,1297
2017-03-10,desktop,18373
2017-03-11,RS-os,769
2017-03-11,desktop,16918
2017-03-12,RS-os,836
2017-03-12,desktop,11732
2017-03-13,RS-os,1316
2017-03-13,desktop,20182
2017-03-14,RS-os,1262
2017-03-14,desktop,21573
2017-03-15,RS-os,1283
2017-03-15,desktop,20821
2017-03-16,RS-os,1317
2017-03-16,desktop,19767
2017-03-17,RS-os,1541
2017-03-17,desktop,16682
2017-03-18,RS-os,1103
2017-03-18,desktop,11199
2017-03-19,RS-os,1050
2017-03-19,desktop,11399
2017-03-20,RS-os,1554
2017-03-20,desktop,20121
2017-03-21,RS-os,1662
2017-03-21,desktop,20746
2017-03-22,RS-os,1671
2017-03-22,desktop,20711
2017-03-23,RS-os,1705
2017-03-23,desktop,18943
2017-03-24,RS-os,1440
2017-03-24,desktop,16738
2017-03-25,RS-os,1082
2017-03-25,desktop,10857
2017-03-26,RS-os,1126
2017-03-26,desktop,10923
2017-03-27,RS-os,1497
2017-03-27,desktop,19553
2017-03-28,RS-os,1648
2017-03-28,desktop,19816
2017-03-29,RS-os,1591
2017-03-29,desktop,18569
2017-03-30,RS-os,1403
2017-03-30,desktop,17664
2017-03-31,RS-os,1494
2017-03-31,desktop,15467
2017-04-01,RS-os,1031
2017-04-01,desktop,10304
2017-04-02,RS-os,973
2017-04-02,desktop,9739
2017-04-03,RS-os,1476
2017-04-03,desktop,18344
2017-04-04,RS-os,1399
2017-04-04,desktop,19069
2017-04-05,RS-os,1540
2017-04-05,desktop,18954
2017-04-06,RS-os,1620
2017-04-06,desktop,17830
2017-04-07,RS-os,1462
