"date","downloads"
"2017-01-01",5181
"2017-01-02",9224
"2017-01-03",13273
"2017-01-04",14572
"2017-01-05",14405
"2017-01-06",12954
"2017-01-07",9161
"2017-01-08",9282
"2017-01-09",18032
"2017-01-10",20096
"2017-01-11",20099
"2017-01-12",19421
"2017-01-13",16017
"2017-01-14",9053
"2017-01-15",9704
"2017-01-16",16332
"2017-01-17",20177
"2017-01-18",21786
"2017-01-19",21076
"2017-01-20",16938
"2017-01-21",9634
"2017-01-22",10043
"2017-01-23",20277
"2017-01-24",20848
"2017-01-25",54512
"2017-01-26",38540
"2017-01-27",29658
"2017-01-28",15701
"2017-01-29",16165
"2017-01-30",32150
"2017-01-31",30753
"2017-02-01",28504
"2017-02-02",27168
"2017-02-03",23889
"2017-02-04",14090
"2017-02-05",13817
"2017-02-06",26301
"2017-02-07",27714
"2017-02-08",27317
"2017-02-09",28434
"2017-02-10",21238
"2017-02-11",12804
"2017-02-12",13044
"2017-02-13",23965
"2017-02-14",22972
"2017-02-15",23152
"2017-02-16",21553
"2017-02-17",20512
"2017-02-18",12381
"2017-02-19",12197
"2017-02-20",21712
"2017-02-21",24076
"2017-02-22",23271
"2017-02-23",21641
"2017-02-24",18967
"2017-02-25",11792
"2017-02-26",12206
"2017-02-27",21674
"2017-02-28",16768
"2017-03-01",11860
"2017-03-02",22930
"2017-03-03",20018
"2017-03-04",12794
"2017-03-05",12674
"2017-03-06",22522
"2017-03-07",24211
"2017-03-08",22768
"2017-03-09",23144
"2017-03-10",19670
"2017-03-11",17687
"2017-03-12",12568
"2017-03-13",21498
"2017-03-14",22835
"2017-03-15",22104
"2017-03-16",21084
"2017-03-17",18223
"2017-03-18",12302
"2017-03-19",12449
"2017-03-20",21675
"2017-03-21",22408
"2017-03-22",22382
"2017-03-23",20648
"2017-03-24",18178
"2017-03-25",11939
"2017-03-26",12049
"2017-03-27",21050
"2017-03-28",21464
"2017-03-29",20160
"2017-03-30",19067
"2017-03-31",16961
"2017-04-01",11335
"2017-04-02",10712
"2017-04-03",19820
"2017-04-04",20468
"2017-04-05",20494
"2017-04-06",19450
"2017-04-07",16999
"2017-04-08",10801
"2017-04-09",10461
"2017-04-10",19227
"2017-04-11",19240
"2017-04-12",17926
"2017-04-13",16492
"2017-04-14",13174
"2017-04-15",9461
"2017-04-16",9025
"2017-04-17",15127
"2017-04-18",18971
"2017-04-19",20661
"2017-04-20",23474
"2017-04-21",19319
"2017-04-22",12954
"2017-04-23",12760
"2017-04-24",24011
"2017-04-25",24929
"2017-04-26",23221
"2017-04-27",20754
"2017-04-28",18005
"2017-04-29",11367
"2017-04-30",10611
"2017-05-01",16424
"2017-05-02",21673
"2017-05-03",20728
"2017-05-04",19787
"2017-05-05",16959
"2017-05-06",11217
"2017-05-07",11187
"2017-05-08",20098
"2017-05-09",20419
"2017-05-10",19322
"2017-05-11",18613
"2017-05-12",16637
"2017-05-13",10328
"2017-05-14",10259
"2017-05-15",19479
"2017-05-16",19908
"2017-05-17",19549
"2017-05-18",18157
"2017-05-19",16305
"2017-05-20",10103
"2017-05-21",10139
"2017-05-22",18676
"2017-05-23",19650
"2017-05-24",18378
"2017-05-25",16207
"2017-05-26",14785
"2017-05-27",9355
"2017-05-28",9284
"2017-05-29",14689
"2017-05-30",16979
"2017-05-31",17876
"2017-06-01",17281
"2017-06-02",15547
"2017-06-03",9218
"2017-06-04",9027
"2017-06-05",17346
"2017-06-06",19046
"2017-06-07",19092
"2017-06-08",17660
"2017-06-09",15662
"2017-06-10",9670
"2017-06-11",9087
"2017-06-12",17918
"2017-06-13",18041
"2017-06-14",17111
"2017-06-15",15569
"2017-06-16",14142
"2017-06-17",8638
"2017-06-18",8496
"2017-06-19",17463
"2017-06-20",17608
"2017-06-21",17017
"2017-06-22",16588
"2017-06-23",13840
"2017-06-24",8376
"2017-06-25",8170
"2017-06-26",16227
"2017-06-27",16827
"2017-06-28",15818
"2017-06-29",15649
"2017-06-30",13492
"2017-07-01",8486
"2017-07-02",8505
"2017-07-03",16061
"2017-07-04",15360
"2017-07-05",16223
"2017-07-06",17181
"2017-07-07",14554
"2017-07-08",9198
"2017-07-09",8878
"2017-07-10",17285
"2017-07-11",16536
"2017-07-12",16125
"2017-07-13",15394
"2017-07-14",11787
"2017-07-15",8934
"2017-07-16",8962
"2017-07-17",16304
"2017-07-18",16557
"2017-07-19",15855
"2017-07-20",15502
"2017-07-21",16468
"2017-07-22",9404
"2017-07-23",9324
"2017-07-24",18682
"2017-07-25",17991
"2017-07-26",16986
"2017-07-27",16535
"2017-07-28",13993
"2017-07-29",9001
"2017-07-30",8854
"2017-07-31",17003
"2017-08-01",17452
"2017-08-02",17035
"2017-08-03",16469
"2017-08-04",15103
"2017-08-05",9258
"2017-08-06",8966
"2017-08-07",17230
"2017-08-08",16654
"2017-08-09",16200
"2017-08-10",16458
"2017-08-11",14629
"2017-08-12",9814
"2017-08-13",9271
"2017-08-14",16320
"2017-08-15",16071
"2017-08-16",17593
"2017-08-17",17484
"2017-08-18",15461
"2017-08-19",10235
"2017-08-20",9914
"2017-08-21",19391
"2017-08-22",21259
"2017-08-23",22654
"2017-08-24",22026
"2017-08-25",18434
"2017-08-26",11168
"2017-08-27",10940
"2017-08-28",23291
"2017-08-29",24774
"2017-08-30",25293
"2017-08-31",25436
"2017-09-01",20040
"2017-09-02",11192
"2017-09-03",11896
"2017-09-04",21547
"2017-09-05",28360
"2017-09-06",29474
"2017-09-07",29693
"2017-09-08",25113
"2017-09-09",14895
"2017-09-10",16051
"2017-09-11",29757
"2017-09-12",29087
"2017-09-13",26987
"2017-09-14",26427
"2017-09-15",23037
"2017-09-16",14482
"2017-09-17",15687
"2017-09-18",28876
"2017-09-19",29477
"2017-09-20",28675
"2017-09-21",26629
"2017-09-22",22957
"2017-09-23",14854
"2017-09-24",15317
"2017-09-25",27674
"2017-09-26",28922
"2017-09-27",28502
"2017-09-28",28231
"2017-09-29",23376
"2017-09-30",14904
"2017-10-01",14754
"2017-10-02",26142
"2017-10-03",26504
"2017-10-04",25456
"2017-10-05",25754
"2017-10-06",22543
"2017-10-07",14587
"2017-10-08",15164
"2017-10-09",28560
"2017-10-10",40462
"2017-10-11",33706
"2017-10-12",29350
"2017-10-13",24603
"2017-10-14",15040
"2017-10-15",14999
"2017-10-16",27564
"2017-10-17",27879
"2017-10-18",26487
"2017-10-19",25274
"2017-10-20",22627
"2017-10-21",14200
"2017-10-22",15167
"2017-10-23",26416
"2017-10-24",26704
"2017-10-25",26506
"2017-10-26",25298
"2017-10-27",22485
"2017-10-28",14731
"2017-10-29",14963
"2017-10-30",24217
"2017-10-31",23061
"2017-11-01",22643
"2017-11-02",23851
"2017-11-03",20224
"2017-11-04",13528
"2017-11-05",13514
"2017-11-06",24388
"2017-11-07",24814
"2017-11-08",24203
"2017-11-09",23101
"2017-11-10",19860
"2017-11-11",12747
"2017-11-12",13127
"2017-11-13",23337
"2017-11-14",24543
"2017-11-15",23406
"2017-11-16",22675
"2017-11-17",893
"2017-11-18",13354
"2017-11-19",13409
"2017-11-20",23035
"2017-11-21",23370
"2017-11-22",22414
"2017-11-23",18586
"2017-11-24",16379
"2017-11-25",12527
"2017-11-26",12898
"2017-11-27",21833
"2017-11-28",22948
"2017-11-29",21855
"2017-11-30",20774
"2017-12-01",18874
"2017-12-02",12667
"2017-12-03",13084
"2017-12-04",21936
"2017-12-05",22161
"2017-12-06",21712
"2017-12-07",20639
"2017-12-08",17663
"2017-12-09",12191
"2017-12-10",12338
"2017-12-11",20347
"2017-12-12",20163
"2017-12-13",19034
"2017-12-14",18319
"2017-12-15",16237
"2017-12-16",10989
"2017-12-17",10925
"2017-12-18",17422
"2017-12-19",17383
"2017-12-20",16759
"2017-12-21",15716
"2017-12-22",12534
"2017-12-23",8412
"2017-12-24",7784
"2017-12-25",8501
"2017-12-26",11179
"2017-12-27",12443
"2017-12-28",12580
"2017-12-29",10191
"2017-12-30",8472
"2017-12-31",6376
"2018-01-01",6977
"2018-01-02",15269
"2018-01-03",17836
"2018-01-04",18208
"2018-01-05",17239
"2018-01-06",11270
"2018-01-07",11707
"2018-01-08",24312
"2018-01-09",26049
"2018-01-10",26617
"2018-01-11",25739
"2018-01-12",21320
"2018-01-13",13227
"2018-01-14",12348
"2018-01-15",22003
"2018-01-16",28059
"2018-01-17",29447
"2018-01-18",34498
"2018-01-19",28083
"2018-01-20",15965
"2018-01-21",15563
"2018-01-22",31795
"2018-01-23",32128
"2018-01-24",30642
"2018-01-25",28073
"2018-01-26",23591
"2018-01-27",15084
"2018-01-28",14852
"2018-01-29",28557
"2018-01-30",29476
"2018-01-31",27277
"2018-02-01",26012
"2018-02-02",22320
"2018-02-03",14456
"2018-02-04",14397
"2018-02-05",25952
"2018-02-06",27752
"2018-02-07",26598
"2018-02-08",26602
"2018-02-09",22340
"2018-02-10",14176
"2018-02-11",14116
"2018-02-12",23881
"2018-02-13",23649
"2018-02-14",22281
"2018-02-15",22049
"2018-02-16",19696
"2018-02-17",12972
"2018-02-18",13038
"2018-02-19",23430
"2018-02-20",24825
"2018-02-21",24387
"2018-02-22",24090
"2018-02-23",21698
"2018-02-24",14655
"2018-02-25",14642
"2018-02-26",26522
"2018-02-27",25848
"2018-02-28",25920
"2018-03-01",25312
"2018-03-02",22167
"2018-03-03",15103
"2018-03-04",15470
"2018-03-05",28220
"2018-03-06",29826
"2018-03-07",29040
"2018-03-08",27680
"2018-03-09",24037
"2018-03-10",16084
"2018-03-11",16114
"2018-03-12",28792
"2018-03-13",29566
"2018-03-14",28490
"2018-03-15",27557
"2018-03-16",23791
"2018-03-17",15567
"2018-03-18",15549
"2018-03-19",27159
"2018-03-20",27983
"2018-03-21",27617
"2018-03-22",25877
"2018-03-23",22617
"2018-03-24",15180
"2018-03-25",15243
"2018-03-26",24578
"2018-03-27",26690
"2018-03-28",24391
"2018-03-29",22357
"2018-03-30",18042
"2018-03-31",14184
"2018-04-01",12033
"2018-04-02",20492
"2018-04-03",24879
"2018-04-04",26636
"2018-04-05",23359
"2018-04-06",20453
"2018-04-07",13281
"2018-04-08",14026
"2018-04-09",25432
"2018-04-10",26150
"2018-04-11",25233
