"date","count","package"
2017-01-01,1053,"broom"
2017-01-02,1481,"broom"
2017-01-03,1851,"broom"
2017-01-04,1947,"broom"
2017-01-05,1927,"broom"
2017-01-06,1948,"broom"
2017-01-07,1542,"broom"
2017-01-08,1479,"broom"
2017-01-09,2057,"broom"
2017-01-10,2278,"broom"
2017-01-11,2352,"broom"
2017-01-12,2169,"broom"
2017-01-13,2087,"broom"
2017-01-14,1759,"broom"
2017-01-15,1690,"broom"
2017-01-16,2292,"broom"
2017-01-17,2693,"broom"
2017-01-18,2849,"broom"
2017-01-19,2807,"broom"
2017-01-20,2606,"broom"
2017-01-21,1859,"broom"
2017-01-22,1787,"broom"
2017-01-23,2473,"broom"
2017-01-24,2680,"broom"
2017-01-25,2641,"broom"
2017-01-26,2429,"broom"
2017-01-27,1991,"broom"
2017-01-28,1348,"broom"
2017-01-29,1611,"broom"
2017-01-30,2348,"broom"
2017-01-31,2337,"broom"
2017-02-01,2026,"broom"
2017-02-02,2054,"broom"
2017-02-03,2189,"broom"
2017-02-04,1209,"broom"
2017-02-05,1345,"broom"
2017-02-06,2138,"broom"
2017-02-07,2368,"broom"
2017-02-08,2524,"broom"
2017-02-09,2974,"broom"
2017-02-10,2796,"broom"
2017-02-11,2111,"broom"
2017-02-12,1978,"broom"
2017-02-13,2966,"broom"
2017-02-14,5026,"broom"
2017-02-15,4088,"broom"
2017-02-16,3789,"broom"
2017-02-17,3639,"broom"
2017-02-18,2526,"broom"
2017-02-19,2490,"broom"
2017-02-20,3436,"broom"
2017-02-21,3635,"broom"
2017-02-22,3725,"broom"
2017-02-23,3485,"broom"
2017-02-24,3139,"broom"
2017-02-25,2350,"broom"
2017-02-26,2256,"broom"
2017-02-27,3391,"broom"
2017-02-28,2809,"broom"
2017-03-01,1396,"broom"
2017-03-02,2977,"broom"
2017-03-03,3219,"broom"
2017-03-04,2354,"broom"
2017-03-05,2402,"broom"
2017-03-06,3456,"broom"
2017-03-07,3562,"broom"
2017-03-08,3626,"broom"
2017-03-09,3256,"broom"
2017-03-10,3143,"broom"
2017-03-11,2123,"broom"
2017-03-12,2101,"broom"
2017-03-13,3208,"broom"
2017-03-14,2965,"broom"
2017-03-15,3557,"broom"
2017-03-16,3291,"broom"
2017-03-17,2781,"broom"
2017-03-18,2122,"broom"
2017-03-19,2433,"broom"
2017-03-20,3465,"broom"
2017-03-21,3459,"broom"
2017-03-22,3570,"broom"
2017-03-23,3356,"broom"
2017-03-24,3029,"broom"
2017-03-25,2233,"broom"
2017-03-26,2083,"broom"
2017-03-27,3320,"broom"
2017-03-28,3519,"broom"
2017-03-29,3440,"broom"
2017-03-30,3470,"broom"
2017-03-31,3010,"broom"
2017-04-01,2080,"broom"
2017-04-02,2194,"broom"
2017-04-03,3226,"broom"
2017-04-04,3503,"broom"
2017-04-05,3337,"broom"
2017-04-06,3399,"broom"
2017-04-07,3064,"broom"
2017-04-08,2161,"broom"
2017-04-09,2120,"broom"
2017-04-10,3391,"broom"
2017-04-11,2982,"broom"
2017-04-12,2989,"broom"
2017-04-13,3141,"broom"
2017-04-14,2664,"broom"
2017-04-15,2242,"broom"
2017-04-16,1977,"broom"
2017-04-17,2788,"broom"
2017-04-18,3227,"broom"
2017-04-19,3204,"broom"
2017-04-20,3480,"broom"
2017-04-21,2689,"broom"
2017-04-22,1274,"broom"
2017-04-23,1278,"broom"
2017-04-24,3016,"broom"
2017-04-25,3403,"broom"
2017-04-26,2845,"broom"
2017-04-27,2460,"broom"
2017-04-28,2134,"broom"
2017-04-29,1116,"broom"
2017-04-30,1144,"broom"
2017-05-01,1771,"broom"
2017-05-02,2429,"broom"
2017-05-03,2445,"broom"
2017-05-04,2255,"broom"
2017-05-05,1978,"broom"
2017-05-06,988,"broom"
2017-05-07,1011,"broom"
2017-05-08,2104,"broom"
2017-05-09,2305,"broom"
2017-05-10,2261,"broom"
2017-05-11,2259,"broom"
2017-05-12,2024,"broom"
2017-05-13,982,"broom"
2017-05-14,994,"broom"
2017-05-15,2151,"broom"
2017-05-16,2492,"broom"
2017-05-17,2269,"broom"
2017-05-18,2231,"broom"
2017-05-19,1924,"broom"
2017-05-20,990,"broom"
2017-05-21,933,"broom"
2017-05-22,2176,"broom"
2017-05-23,2635,"broom"
2017-05-24,2212,"broom"
2017-05-25,1793,"broom"
2017-05-26,1776,"broom"
2017-05-27,944,"broom"
2017-05-28,903,"broom"
2017-05-29,1716,"broom"
2017-05-30,2210,"broom"
2017-05-31,2262,"broom"
2017-06-01,2042,"broom"
2017-06-02,1836,"broom"
2017-06-03,1070,"broom"
2017-06-04,969,"broom"
2017-06-05,1919,"broom"
2017-06-06,2482,"broom"
2017-06-07,2418,"broom"
2017-06-08,2479,"broom"
2017-06-09,2303,"broom"
2017-06-10,986,"broom"
2017-06-11,1111,"broom"
2017-06-12,2294,"broom"
2017-06-13,2474,"broom"
2017-06-14,2418,"broom"
2017-06-15,2087,"broom"
2017-06-16,2130,"broom"
2017-06-17,930,"broom"
2017-06-18,848,"broom"
2017-06-19,2320,"broom"
2017-06-20,2451,"broom"
2017-06-21,2406,"broom"
2017-06-22,2293,"broom"
2017-06-23,2167,"broom"
2017-06-24,1071,"broom"
2017-06-25,1056,"broom"
2017-06-26,2222,"broom"
2017-06-27,2257,"broom"
2017-06-28,2449,"broom"
2017-06-29,2400,"broom"
2017-06-30,1823,"broom"
2017-07-01,938,"broom"
2017-07-02,942,"broom"
2017-07-03,1961,"broom"
2017-07-04,1965,"broom"
2017-07-05,2127,"broom"
2017-07-06,2277,"broom"
2017-07-07,2147,"broom"
2017-07-08,1036,"broom"
2017-07-09,895,"broom"
2017-07-10,2453,"broom"
2017-07-11,2480,"broom"
2017-07-12,2301,"broom"
2017-07-13,2388,"broom"
2017-07-14,1787,"broom"
2017-07-15,752,"broom"
2017-07-16,772,"broom"
2017-07-17,2110,"broom"
2017-07-18,2398,"broom"
2017-07-19,2197,"broom"
2017-07-20,2178,"broom"
2017-07-21,2008,"broom"
2017-07-22,973,"broom"
2017-07-23,952,"broom"
2017-07-24,2301,"broom"
2017-07-25,2436,"broom"
2017-07-26,2162,"broom"
2017-07-27,1949,"broom"
2017-07-28,1830,"broom"
2017-07-29,834,"broom"
2017-07-30,977,"broom"
2017-07-31,2164,"broom"
2017-08-01,2448,"broom"
2017-08-02,2246,"broom"
2017-08-03,2221,"broom"
2017-08-04,1750,"broom"
2017-08-05,1043,"broom"
2017-08-06,862,"broom"
2017-08-07,2055,"broom"
2017-08-08,2152,"broom"
2017-08-09,2187,"broom"
2017-08-10,2116,"broom"
2017-08-11,1892,"broom"
2017-08-12,811,"broom"
2017-08-13,833,"broom"
2017-08-14,2056,"broom"
2017-08-15,2201,"broom"
2017-08-16,2243,"broom"
2017-08-17,2218,"broom"
2017-08-18,2121,"broom"
2017-08-19,1010,"broom"
2017-08-20,913,"broom"
2017-08-21,2205,"broom"
2017-08-22,2473,"broom"
2017-08-23,2756,"broom"
2017-08-24,2379,"broom"
2017-08-25,2177,"broom"
2017-08-26,992,"broom"
2017-08-27,927,"broom"
2017-08-28,2428,"broom"
2017-08-29,2799,"broom"
2017-08-30,2658,"broom"
2017-08-31,2798,"broom"
2017-09-01,2230,"broom"
2017-09-02,1160,"broom"
2017-09-03,1022,"broom"
2017-09-04,2038,"broom"
2017-09-05,2975,"broom"
2017-09-06,3387,"broom"
2017-09-07,3343,"broom"
2017-09-08,2789,"broom"
2017-09-09,1145,"broom"
2017-09-10,1239,"broom"
2017-09-11,3470,"broom"
2017-09-12,3537,"broom"
2017-09-13,3778,"broom"
2017-09-14,3659,"broom"
2017-09-15,2708,"broom"
2017-09-16,1345,"broom"
2017-09-17,1267,"broom"
2017-09-18,3074,"broom"
2017-09-19,3454,"broom"
2017-09-20,3178,"broom"
2017-09-21,3059,"broom"
2017-09-22,2697,"broom"
2017-09-23,1287,"broom"
2017-09-24,1474,"broom"
2017-09-25,3374,"broom"
2017-09-26,3555,"broom"
2017-09-27,3627,"broom"
2017-09-28,3405,"broom"
2017-09-29,2942,"broom"
2017-09-30,1342,"broom"
2017-10-01,1325,"broom"
2017-10-02,3181,"broom"
2017-10-03,3459,"broom"
2017-10-04,3356,"broom"
2017-10-05,3176,"broom"
2017-10-06,2882,"broom"
2017-10-07,1386,"broom"
2017-10-08,1305,"broom"
2017-10-09,3065,"broom"
2017-10-10,3573,"broom"
2017-10-11,3735,"broom"
2017-10-12,3192,"broom"
2017-10-13,2940,"broom"
2017-10-14,1293,"broom"
2017-10-15,1328,"broom"
2017-10-16,3466,"broom"
2017-10-17,3570,"broom"
2017-10-18,3390,"broom"
2017-10-19,3131,"broom"
2017-10-20,2703,"broom"
2017-10-21,1381,"broom"
2017-10-22,1284,"broom"
2017-10-23,3423,"broom"
2017-10-24,3589,"broom"
2017-10-25,3605,"broom"
2017-10-26,3598,"broom"
2017-10-27,3267,"broom"
2017-10-28,1327,"broom"
2017-10-29,1556,"broom"
2017-10-30,3608,"broom"
2017-10-31,3403,"broom"
2017-11-01,3361,"broom"
2017-11-02,3496,"broom"
2017-11-03,3053,"broom"
2017-11-04,1477,"broom"
2017-11-05,1477,"broom"
2017-11-06,3598,"broom"
2017-11-07,3950,"broom"
2017-11-08,4149,"broom"
2017-11-09,3938,"broom"
2017-11-10,3705,"broom"
2017-11-11,1809,"broom"
2017-11-12,1568,"broom"
2017-11-13,3613,"broom"
2017-11-14,3941,"broom"
2017-11-15,3592,"broom"
2017-11-16,3623,"broom"
2017-11-17,3158,"broom"
2017-11-18,1522,"broom"
2017-11-19,1542,"broom"
2017-11-20,6185,"broom"
2017-11-21,9632,"broom"
2017-11-22,7499,"broom"
2017-11-23,5739,"broom"
2017-11-24,7847,"broom"
2017-11-25,3639,"broom"
2017-11-26,3470,"broom"
2017-11-27,7194,"broom"
2017-11-28,7267,"broom"
2017-11-29,7098,"broom"
2017-11-30,6819,"broom"
2017-12-01,5922,"broom"
2017-12-02,3196,"broom"
2017-12-03,3503,"broom"
2017-12-04,6597,"broom"
2017-12-05,6567,"broom"
2017-12-06,6561,"broom"
2017-12-07,6496,"broom"
2017-12-08,5200,"broom"
2017-12-09,3269,"broom"
2017-12-10,2843,"broom"
2017-12-11,5892,"broom"
2017-12-12,5469,"broom"
2017-12-13,5756,"broom"
2017-12-14,5554,"broom"
2017-12-15,4617,"broom"
2017-12-16,2689,"broom"
2017-12-17,2721,"broom"
2017-12-18,4841,"broom"
2017-12-19,4787,"broom"
2017-12-20,4405,"broom"
2017-12-21,4767,"broom"
2017-12-22,3441,"broom"
2017-12-23,1863,"broom"
2017-12-24,1860,"broom"
2017-12-25,1960,"broom"
2017-12-26,2466,"broom"
2017-12-27,2906,"broom"
2017-12-28,3323,"broom"
2017-12-29,2555,"broom"
2017-12-30,1584,"broom"
2017-12-31,1382,"broom"
2018-01-01,1417,"broom"
2018-01-02,3820,"broom"
2018-01-03,3936,"broom"
2018-01-04,4219,"broom"
2018-01-05,3985,"broom"
2018-01-06,2141,"broom"
2018-01-07,2274,"broom"
2018-01-08,4888,"broom"
2018-01-09,5107,"broom"
2018-01-10,6136,"broom"
2018-01-11,5649,"broom"
2018-01-12,5044,"broom"
2018-01-13,2404,"broom"
2018-01-14,2371,"broom"
2018-01-15,4694,"broom"
2018-01-16,6172,"broom"
2018-01-17,6636,"broom"
2018-01-18,6688,"broom"
2018-01-19,5805,"broom"
2018-01-20,2864,"broom"
2018-01-21,3044,"broom"
2018-01-22,6264,"broom"
2018-01-23,7071,"broom"
2018-01-24,6646,"broom"
2018-01-25,6605,"broom"
2018-01-26,5124,"broom"
2018-01-27,2946,"broom"
2018-01-28,3252,"broom"
2018-01-29,6327,"broom"
2018-01-30,7402,"broom"
2018-01-31,6391,"broom"
2018-02-01,6475,"broom"
2018-02-02,5429,"broom"
2018-02-03,2876,"broom"
2018-02-04,2947,"broom"
2018-02-05,6292,"broom"
2018-02-06,6512,"broom"
2018-02-07,5802,"broom"
2018-02-08,6192,"broom"
2018-02-09,5034,"broom"
2018-02-10,2776,"broom"
2018-02-11,2537,"broom"
2018-02-12,5374,"broom"
2018-02-13,5920,"broom"
2018-02-14,5428,"broom"
2018-02-15,5258,"broom"
2018-02-16,4990,"broom"
2018-02-17,2322,"broom"
2018-02-18,2445,"broom"
2018-02-19,5054,"broom"
2018-02-20,6138,"broom"
2018-02-21,6191,"broom"
2018-02-22,6011,"broom"
2018-02-23,5282,"broom"
2018-02-24,2776,"broom"
2018-02-25,2762,"broom"
2018-02-26,6052,"broom"
2018-02-27,5929,"broom"
2018-02-28,6064,"broom"
2018-03-01,5685,"broom"
2018-03-02,5056,"broom"
2018-03-03,2799,"broom"
2018-03-04,2565,"broom"
